"t","x","y","z"
3.509250004E-3,8.469537506E0,-7.445516968E-1,2.928510132E0
1.358525001E-2,8.728648682E0,-5.897735596E-1,3.072959747E0
2.366224999E-2,8.793463898E0,-7.225474548E-1,3.988905029E0
3.373825000E-2,8.923992462E0,-7.628137207E-1,4.254003754E0
4.381425001E-2,9.012308807E0,-6.641688538E-1,4.005670166E0
5.389124999E-2,8.974138184E0,-6.195616150E-1,3.977528687E0
6.396725000E-2,8.915160828E0,-6.162684631E-1,4.026177521E0
7.404325000E-2,8.936566315E0,-6.216572571E-1,4.027674408E0
8.412024999E-2,8.970545654E0,-6.225553894E-1,4.057312775E0
9.419624999E-2,8.975485382E0,-6.216572571E-1,4.094285889E0
1.042722500E-1,8.925639038E0,-6.015989685E-1,4.108356628E0
1.143492500E-1,8.866062927E0,-5.725593567E-1,4.091741180E0
1.244252500E-1,8.856333160E0,-5.406756592E-1,4.060007172E0
1.345012500E-1,8.849148102E0,-5.282514954E-1,4.049528961E0
1.445782500E-1,8.878337402E0,-5.676196289E-1,4.058959351E0
1.546542500E-1,8.894204407E0,-6.248007202E-1,4.075724487E0
1.647302500E-1,8.888366547E0,-7.008425903E-1,4.103865967E0
1.748072500E-1,8.901239777E0,-7.818241882E-1,4.073778534E0
1.848832500E-1,8.905730438E0,-8.613088989E-1,4.063450012E0
1.949592500E-1,8.896000671E0,-8.909472656E-1,4.061504059E0
2.050362500E-1,8.908125458E0,-8.629554749E-1,4.089495850E0
2.151122500E-1,8.910670166E0,-8.235873413E-1,4.085454254E0
2.251882500E-1,8.900042267E0,-7.542814636E-1,4.069886627E0
2.352642500E-1,8.904832306E0,-6.650669861E-1,4.043092346E0
2.453412500E-1,8.914412384E0,-6.158193970E-1,4.004622345E0
2.554172500E-1,8.953481140E0,-6.042933655E-1,3.967050476E0
2.654932500E-1,8.952732697E0,-6.176156616E-1,3.976181488E0
2.755702500E-1,8.935069427E0,-6.604266357E-1,3.999832306E0
2.856462500E-1,8.937763824E0,-7.108717346E-1,4.040248260E0
2.957222500E-1,8.933722229E0,-7.747888184E-1,4.033362579E0
3.057992500E-1,8.910969543E0,-8.361611938E-1,4.047283630E0
3.158752500E-1,8.891959076E0,-8.845106506E-1,4.052073669E0
3.259512500E-1,8.884474640E0,-9.136999512E-1,4.040996704E0
3.360282500E-1,8.883576508E0,-9.114546204E-1,4.063749390E0
3.461042500E-1,8.888366547E0,-8.596623230E-1,4.074227600E0
3.561802500E-1,8.891959076E0,-8.059240723E-1,4.074077911E0
3.662572500E-1,8.885821838E0,-7.611671448E-1,4.067042542E0
3.763332500E-1,8.879983978E0,-7.756869507E-1,4.076921997E0
3.864092500E-1,8.859626312E0,-7.930508423E-1,4.064946899E0
3.964862500E-1,8.827443237E0,-8.183482361E-1,4.048630829E0
4.065622500E-1,8.800499268E0,-8.348139954E-1,4.051923981E0
4.166382500E-1,8.828341370E0,-8.255332947E-1,4.048780518E0
4.267152500E-1,8.896749115E0,-7.997868347E-1,4.052073669E0
4.367912500E-1,8.920848999E0,-7.424560547E-1,4.016597443E0
4.468672500E-1,8.907526703E0,-7.191046143E-1,4.010310516E0
4.569442500E-1,8.905131683E0,-7.209008789E-1,4.027225342E0
4.670202500E-1,8.924591217E0,-7.044351196E-1,4.007466431E0
4.770962500E-1,8.913214874E0,-6.565347290E-1,3.998784485E0
4.871732500E-1,8.871302032E0,-5.776487732E-1,3.990252228E0
4.972492500E-1,8.875343628E0,-5.087919617E-1,3.941004639E0
5.073252500E-1,8.917256470E0,-5.689668274E-1,4.014950867E0
5.174022500E-1,8.910370789E0,-5.336402893E-1,3.981869659E0
5.274782500E-1,8.928483124E0,-5.779481506E-1,4.021986237E0
5.375542500E-1,8.924142151E0,-6.336323547E-1,4.077371063E0
5.476312500E-1,8.943451996E0,-6.132746887E-1,4.075125732E0
5.577072500E-1,8.936266937E0,-5.920188904E-1,4.015549622E0
5.677832500E-1,8.880133667E0,-7.020401001E-1,4.087699585E0
5.778592500E-1,8.875792694E0,-7.779322815E-1,4.085903320E0
5.879362500E-1,8.902736664E0,-9.035211182E-1,4.109853516E0
5.980122500E-1,8.951535187E0,-1.077010345E0,4.224964142E0
6.080882500E-1,8.978479156E0,-1.156794434E0,4.277654572E0
6.181652500E-1,8.980275421E0,-1.178050232E0,4.255350952E0
6.282412500E-1,8.949738922E0,-1.160686340E0,4.203558655E0
6.383172500E-1,8.926986237E0,-1.149459686E0,4.136498108E0
6.483942500E-1,8.885223083E0,-1.112336884E0,4.089944916E0
6.584702500E-1,8.841813354E0,-1.072220306E0,4.091142426E0
6.685462500E-1,8.817114716E0,-1.020428009E0,4.081113281E0
6.786232500E-1,8.841064911E0,-9.455836487E-1,4.066593475E0
6.886992500E-1,8.874146118E0,-8.415499878E-1,4.028871918E0
6.987752500E-1,8.882678375E0,-7.918533325E-1,4.028273163E0
7.088522500E-1,8.889713745E0,-7.846682739E-1,4.045187988E0
7.189282500E-1,8.883576508E0,-8.057743835E-1,4.063450012E0
7.290042500E-1,8.880582733E0,-8.087681580E-1,4.037853241E0
7.390812500E-1,8.895102539E0,-7.511380005E-1,4.010011139E0
7.491572500E-1,8.882828064E0,-6.882687378E-1,3.962559814E0
7.592332500E-1,8.883127441E0,-6.563850403E-1,3.970493317E0
7.693102500E-1,8.883426819E0,-6.265969849E-1,3.990551605E0
7.793862500E-1,8.860225067E0,-6.242019653E-1,3.989054718E0
7.894622500E-1,8.851692810E0,-6.442602539E-1,4.018992462E0
7.995392500E-1,8.874595184E0,-6.716532898E-1,4.022285614E0
8.096152500E-1,8.909772034E0,-7.173083496E-1,4.001179504E0
8.196912500E-1,8.931177521E0,-7.207511902E-1,3.983366547E0
8.297682500E-1,8.936566315E0,-7.023394775E-1,3.959116974E0
8.398444167E-1,8.927135925E0,-6.771917725E-1,3.949536896E0
8.499204167E-1,8.885522461E0,-6.107299805E-1,3.948489075E0
8.599974167E-1,8.853788452E0,-5.622308350E-1,3.947141876E0
8.700734167E-1,8.869655457E0,-5.412744141E-1,3.958069153E0
8.801494167E-1,8.913214874E0,-5.590873718E-1,3.993246002E0
8.902264167E-1,8.972192230E0,-5.761518860E-1,4.009861450E0
9.003024167E-1,8.989855499E0,-6.004014587E-1,4.039050751E0
9.103784167E-1,8.961264954E0,-6.483018494E-1,4.053121490E0
9.204544167E-1,8.934470673E0,-7.068301392E-1,4.060306549E0
9.305314167E-1,8.915160828E0,-7.571255493E-1,4.054768066E0
9.406074167E-1,8.913065186E0,-7.843688965E-1,4.051175537E0
9.506834167E-1,8.905431061E0,-8.074209595E-1,4.057013397E0
9.607604167E-1,8.912167053E0,-8.162525940E-1,4.083358612E0
9.708364167E-1,8.903485107E0,-8.050259399E-1,4.117188263E0
9.809124167E-1,8.871002655E0,-7.695497131E-1,4.141138458E0
9.909894167E-1,8.830437012E0,-7.231462097E-1,4.149820404E0
1.001065417E0,8.821755066E0,-6.421646118E-1,4.149371338E0
1.011141417E0,8.852740631E0,-5.769003296E-1,4.158053284E0
1.021218417E0,8.843010864E0,-5.161267090E-1,4.189338226E0
1.031294417E0,8.811426544E0,-4.575984192E-1,4.218976593E0
1.041370417E0,8.744216309E0,-4.131408691E-1,4.254153442E0
1.051447417E0,8.702303467E0,-3.716770935E-1,4.296964417E0
1.061523417E0,8.689879303E0,-3.579057312E-1,4.312981110E0
1.071599417E0,8.694369965E0,-3.682342529E-1,4.322112122E0
1.081676417E0,8.732390900E0,-4.077520752E-1,4.355642395E0
1.091752417E0,8.766370239E0,-4.519102478E-1,4.383634186E0
1.101828417E0,8.791667633E0,-5.093907166E-1,4.378245392E0
1.111905417E0,8.810528412E0,-5.563929749E-1,4.364474030E0
1.121981417E0,8.824000397E0,-5.962101746E-1,4.323010254E0
1.132057417E0,8.835376740E0,-6.406677246E-1,4.314927063E0
1.142134417E0,8.842262421E0,-6.885681152E-1,4.308340759E0
1.152210417E0,8.830736389E0,-7.435038757E-1,4.286486206E0
1.162286417E0,8.797954559E0,-7.741900635E-1,4.264332275E0
1.172363417E0,8.768166504E0,-7.794291687E-1,4.266727295E0
1.182439417E0,8.759035492E0,-8.050259399E-1,4.253554688E0
1.192515417E0,8.759634247E0,-8.035290527E-1,4.239633636E0
1.202592417E0,8.768166504E0,-7.837701416E-1,4.235292664E0
1.212668417E0,8.769663391E0,-7.762857056E-1,4.251159668E0
1.222744417E0,8.785680084E0,-8.084687805E-1,4.248914337E0
1.232820417E0,8.799152069E0,-8.249345398E-1,4.249662781E0
1.242897417E0,8.851842499E0,-8.093669128E-1,4.252506866E0
1.252973417E0,8.894952850E0,-7.617658997E-1,4.223467255E0
1.263049417E0,8.924291840E0,-7.424560547E-1,4.222419434E0
1.273126417E0,8.891210632E0,-7.204518127E-1,4.229305115E0
1.283202417E0,8.846902771E0,-7.247927856E-1,4.249812469E0
1.293278417E0,8.825347595E0,-7.244934082E-1,4.250710602E0
1.303355417E0,8.842711487E0,-6.987469482E-1,4.230352936E0
1.313431417E0,8.832233276E0,-6.471043396E-1,4.227658539E0
1.323507417E0,8.858728180E0,-6.378236389E-1,4.278552704E0
1.333584417E0,8.864266663E0,-6.301895142E-1,4.258494415E0
1.343660417E0,8.879235535E0,-6.230044556E-1,4.230203247E0
1.353736417E0,8.863967285E0,-5.956114197E-1,4.189637604E0
1.363813417E0,8.835077362E0,-5.692662048E-1,4.114044800E0
1.373889417E0,8.817114716E0,-5.481600952E-1,4.062551880E0
1.383965417E0,8.784332886E0,-4.935237122E-1,4.021686859E0
1.394042417E0,8.782087555E0,-4.409829712E-1,4.081262970E0
1.404118417E0,8.800199890E0,-3.963757324E-1,4.115092621E0
1.414194417E0,8.838520203E0,-3.848497009E-1,4.156556396E0
1.424271417E0,8.876840515E0,-4.206253052E-1,4.231999512E0
1.434347417E0,8.881630554E0,-4.974156189E-1,4.306843872E0
1.444423417E0,8.888516235E0,-6.018983459E-1,4.297263794E0
1.454500417E0,8.877439270E0,-6.972500610E-1,4.275858307E0
1.464576417E0,8.866961060E0,-7.601193237E-1,4.241878967E0
1.474652417E0,8.861272888E0,-7.890092468E-1,4.156706085E0
1.484728417E0,8.889713745E0,-8.178991699E-1,4.108955383E0
1.494805417E0,8.891659698E0,-8.167016602E-1,4.042044525E0
1.504881417E0,8.860374756E0,-8.535250854E-1,4.027075653E0
1.514957417E0,8.841064911E0,-8.497828674E-1,4.084855499E0
1.525034417E0,8.834777985E0,-8.416996765E-1,4.113446045E0
1.535110417E0,8.813222809E0,-8.232879639E-1,4.124373322E0
1.545186417E0,8.806786194E0,-7.961943054E-1,4.133204956E0
1.555263417E0,8.819360046E0,-7.753875732E-1,4.127367096E0
1.565339417E0,8.856632538E0,-7.694000244E-1,4.123774567E0
1.575415417E0,8.899293823E0,-7.876620483E-1,4.147126007E0
1.585492417E0,8.910969543E0,-8.173004150E-1,4.139641571E0
1.595568417E0,8.905580750E0,-8.608598328E-1,4.149221649E0
1.605644417E0,8.896749115E0,-8.906478882E-1,4.129313049E0
1.615721417E0,8.879534912E0,-8.812174988E-1,4.101620636E0
1.625797417E0,8.866212616E0,-8.431965637E-1,4.092489624E0
1.635873417E0,8.875044250E0,-7.921527100E-1,4.094884644E0
1.645950417E0,8.883576508E0,-7.228468323E-1,4.088448029E0
1.656026417E0,8.876990204E0,-6.563850403E-1,4.110751648E0
1.666102417E0,8.848998413E0,-6.339317322E-1,4.125271454E0
1.676179417E0,8.846453705E0,-6.360273743E-1,4.133654022E0
1.686255417E0,8.852590942E0,-6.625222778E-1,4.132905579E0
1.696331417E0,8.884774017E0,-6.382727051E-1,4.152814178E0
1.706408417E0,8.884324951E0,-5.860313416E-1,4.159699860E0
1.716484417E0,8.856033783E0,-5.254074097E-1,4.158951416E0
1.726560417E0,8.838220825E0,-4.821473694E-1,4.150868225E0
1.736637417E0,8.836873627E0,-4.349954224E-1,4.130959625E0
1.746713417E0,8.864865417E0,-3.794609070E-1,4.105512543E0
1.756789417E0,8.885971527E0,-3.498225403E-1,4.078867950E0
1.766865417E0,8.911867676E0,-3.511697388E-1,4.079167328E0
1.776942417E0,8.931925964E0,-3.844006348E-1,4.084855499E0
1.787018417E0,8.954678650E0,-3.953279114E-1,4.091591492E0
1.797094417E0,8.939410400E0,-4.212240601E-1,4.104614410E0
1.807171417E0,8.914711761E0,-4.935237122E-1,4.091142426E0
1.817247417E0,8.872948608E0,-5.848338318E-1,4.091591492E0
1.827323417E0,8.836873627E0,-6.566844177E-1,4.093687134E0
1.837400417E0,8.820557556E0,-7.223977661E-1,4.135599976E0
1.847476250E0,8.829538879E0,-7.948471069E-1,4.161945190E0
1.857552250E0,8.862320709E0,-8.562194824E-1,4.170028381E0
1.867629250E0,8.900641022E0,-8.981323242E-1,4.147126007E0
1.877705250E0,8.928632812E0,-9.132508850E-1,4.126319275E0
1.887781250E0,8.930878143E0,-9.056167603E-1,4.126319275E0
1.897858250E0,8.906927948E0,-8.809181213E-1,4.109254761E0
1.907934250E0,8.888665924E0,-8.744815063E-1,4.121678925E0
1.918010250E0,8.862769775E0,-8.954379272E-1,4.115391998E0
1.928087250E0,8.835077362E0,-9.352551270E-1,4.098028107E0
1.938163250E0,8.801846466E0,-9.419911194E-1,4.070036316E0
1.948239250E0,8.806037750E0,-9.063652039E-1,4.071533203E0
1.958316250E0,8.837921448E0,-8.366102600E-1,4.065246277E0
1.968392250E0,8.880433044E0,-7.732919312E-1,4.090094604E0
1.978468250E0,8.898545380E0,-7.420069885E-1,4.121529236E0
1.988545250E0,8.886719971E0,-7.494914246E-1,4.146227875E0
1.998621250E0,8.880582733E0,-7.441026306E-1,4.141437836E0
2.008697250E0,8.884774017E0,-7.288343811E-1,4.098028107E0
2.018774250E0,8.882378998E0,-7.228468323E-1,4.084256744E0
2.028850250E0,8.887917480E0,-7.146139526E-1,4.092190247E0
2.038926250E0,8.893905029E0,-7.072792053E-1,4.126319275E0
2.049003250E0,8.883726196E0,-7.134164429E-1,4.153562622E0
2.059079250E0,8.882678375E0,-7.297325134E-1,4.155059509E0
2.069155250E0,8.865164795E0,-7.267387390E-1,4.152065735E0
2.079231250E0,8.848699036E0,-7.369175720E-1,4.160448303E0
2.089308250E0,8.856183472E0,-7.420069885E-1,4.203558655E0
2.099384250E0,8.881630554E0,-7.454498291E-1,4.220623169E0
2.109460250E0,8.911119232E0,-7.244934082E-1,4.186793518E0
2.119537250E0,8.894503784E0,-7.144642639E-1,4.130510559E0
2.129613250E0,8.842861176E0,-6.963519287E-1,4.079766083E0
2.139689250E0,8.809929657E0,-6.694079590E-1,4.095034332E0
2.149766250E0,8.804690552E0,-6.050418091E-1,4.129163361E0
2.159842250E0,8.807534637E0,-5.089416504E-1,4.186943207E0
2.169918250E0,8.813522186E0,-4.041595459E-1,4.240681458E0
2.179995250E0,8.828790436E0,-3.498225403E-1,4.255201263E0
2.190071250E0,8.816965027E0,-3.471281433E-1,4.281247101E0
2.200147250E0,8.782985687E0,-4.176315308E-1,4.343218231E0
2.210224250E0,8.802445221E0,-5.177732849E-1,4.363426208E0
2.220300250E0,8.863069153E0,-6.270460510E-1,4.281995544E0
2.230376250E0,8.883726196E0,-7.364685059E-1,4.183949432E0
2.240453250E0,8.889114990E0,-8.264314270E-1,4.138593750E0
