"t","x","y","z"
8.547250007E-3,-6.150873378E-2,-6.603101641E-2,2.339305729E-2
1.862424999E-2,2.087008394E-2,-8.130924404E-2,1.806256361E-2
2.870025000E-2,8.376302570E-2,-4.760587960E-2,9.836326353E-3
3.877625000E-2,4.336099699E-2,-8.251220919E-3,6.985031534E-3
4.885225001E-2,2.220165171E-2,-4.294296261E-3,6.541349459E-3
5.892924999E-2,2.211766504E-2,-1.829253882E-2,-2.765497193E-3
6.900525000E-2,1.179312170E-2,-2.204466611E-2,-9.807428345E-3
7.908125001E-2,2.281596884E-3,-1.463986468E-2,-1.237309445E-2
8.915824999E-2,-5.021057092E-3,1.920782088E-4,-1.499710698E-2
9.923425000E-2,-1.742430776E-2,6.775869988E-3,-2.771877311E-2
1.093102500E-1,-3.210791200E-2,6.497569848E-3,-3.310075402E-2
1.193872500E-1,-4.762822390E-2,3.476534737E-3,-4.128189385E-2
1.294632500E-1,-6.175416335E-2,-1.646321733E-3,-4.628517479E-2
1.395392500E-1,-6.914938986E-2,-7.736363448E-3,-5.101254210E-2
1.496162500E-1,-7.669278979E-2,-8.337971754E-3,-5.431406200E-2
1.596922500E-1,-7.680730522E-2,-8.008573204E-3,-5.947250500E-2
1.697682500E-1,-6.537675112E-2,-2.973068273E-3,-5.834705383E-2
1.798452500E-1,-5.067973211E-2,-1.656592212E-4,-5.945992470E-2
1.899212500E-1,-3.925503790E-2,-5.125530530E-3,-4.962220788E-2
1.999972500E-1,-2.898845449E-2,-1.004931238E-2,-5.042605102E-2
2.100742500E-1,-1.580021530E-2,-9.923344478E-3,-4.560306668E-2
2.201502500E-1,-1.148632914E-2,-9.688317776E-3,-4.246250167E-2
2.302262500E-1,-6.250288337E-3,-9.174861014E-3,-3.474120051E-2
2.403032500E-1,5.358946510E-4,-1.495811250E-2,-3.232416511E-2
2.503792500E-1,3.579952754E-4,-1.359483972E-2,-2.895420231E-2
2.604552500E-1,5.604928359E-3,-7.293678354E-3,-2.071380801E-2
2.705322500E-1,9.558391757E-3,-2.934616059E-3,-1.170566678E-2
2.806082500E-1,1.068728045E-2,-2.039670711E-3,-7.462945767E-3
2.906842500E-1,2.114870958E-2,-3.270317335E-3,-4.205632955E-3
3.007612500E-1,3.092924878E-2,-3.304508980E-3,-4.363143351E-3
3.108372500E-1,4.629622027E-2,-7.755982690E-3,-2.217700938E-3
3.209132500E-1,5.880004540E-2,-1.109081972E-2,2.319542225E-3
3.309902500E-1,6.502038985E-2,-1.254197583E-2,1.450020354E-3
3.410662500E-1,7.202012837E-2,-1.379829925E-2,2.919904422E-3
3.511422500E-1,7.718319446E-2,-1.404357608E-2,6.826228928E-3
3.612192500E-1,8.158504963E-2,-1.034348179E-2,1.387269236E-2
3.712952500E-1,8.541547507E-2,-1.890421286E-2,1.359439082E-2
3.813712500E-1,8.400888741E-2,-1.722478494E-2,1.911736280E-2
3.914472500E-1,8.565845340E-2,-1.492807362E-2,2.470387518E-2
4.015242500E-1,8.261527866E-2,-2.030585706E-2,2.747793868E-2
4.116002500E-1,7.873558253E-2,-2.651794627E-2,2.149195224E-2
4.216772500E-1,7.924403995E-2,-2.947879396E-2,1.493560523E-2
4.317532500E-1,7.725226134E-2,-2.935708687E-2,1.341014728E-2
4.418292500E-1,6.646925956E-2,-2.593733557E-2,1.158096269E-2
4.519052500E-1,6.033813581E-2,-2.692749724E-2,1.272558980E-2
4.619822500E-1,4.788355157E-2,-1.800439321E-2,1.534366980E-2
4.720582500E-1,3.609320521E-2,-8.792784996E-3,1.171591133E-2
4.821342500E-1,2.132688835E-2,7.716758642E-3,1.651440561E-2
4.922112500E-1,1.428014599E-3,1.598773710E-2,1.841403916E-2
5.022872500E-1,-1.672185026E-2,1.083699334E-2,1.327202003E-2
5.123632500E-1,-3.177590296E-2,2.391684055E-2,1.654557511E-2
5.224402500E-1,-4.736012593E-2,3.551682830E-2,1.439543068E-2
5.325162500E-1,-6.090842560E-2,4.958923534E-2,1.703675464E-2
5.425922500E-1,-8.547659963E-2,6.850048900E-2,1.562790200E-2
5.526692500E-1,-1.036819667E-1,8.950324357E-2,1.354664192E-2
5.627452500E-1,-1.041717529E-1,8.510255814E-2,1.020483300E-2
5.728212500E-1,-1.059145257E-1,8.051499724E-2,1.077927649E-2
5.828982500E-1,-9.871480614E-2,7.509656996E-2,6.703870837E-3
5.929742500E-1,-8.116564155E-2,6.757101417E-2,-9.445271455E-3
6.030502500E-1,-6.365061551E-2,6.703688949E-2,-1.850895397E-2
6.131272500E-1,-4.604392871E-2,7.811191678E-2,-2.071964554E-2
6.232032500E-1,-3.485459834E-2,9.473515302E-2,-1.393168978E-2
6.332792500E-1,-1.797521859E-2,1.076533496E-1,-1.260756608E-2
6.433562500E-1,-5.934910849E-3,1.089361161E-1,-6.298282649E-3
6.534322500E-1,8.991841227E-3,1.039400250E-1,-1.472634729E-3
6.635082500E-1,2.228169143E-2,9.404104948E-2,9.829415940E-4
6.735852500E-1,3.563344851E-2,8.319345862E-2,4.850117490E-3
6.836612500E-1,4.465879127E-2,8.333559334E-2,9.941006079E-3
6.937372500E-1,5.502674356E-2,8.436331153E-2,1.940241829E-2
7.038142500E-1,6.742509454E-2,8.497627825E-2,2.539713681E-2
7.138902500E-1,8.008283377E-2,8.258342743E-2,3.408863023E-2
7.239662500E-1,8.859034628E-2,8.543658257E-2,4.426880553E-2
7.340422500E-1,1.031759530E-1,7.068080455E-2,5.217307061E-2
7.441192500E-1,1.033978611E-1,4.819147289E-2,5.695177987E-2
7.541952500E-1,9.492395073E-2,2.577325143E-2,5.182226375E-2
7.642712500E-1,9.598712623E-2,2.463251119E-3,4.986242205E-2
7.743482500E-1,9.828303754E-2,-2.032697434E-3,4.619525373E-2
7.844242500E-1,1.047995239E-1,-1.078601088E-2,4.455031082E-2
7.945002500E-1,1.098736450E-1,-1.434426010E-2,4.727099836E-2
8.045772500E-1,1.139156818E-1,-1.615235582E-2,4.683742672E-2
8.146532500E-1,1.133604124E-1,-9.269682691E-3,4.365175217E-2
8.247292500E-1,1.087118611E-1,-3.041879972E-3,4.367678612E-2
8.348062500E-1,1.037301496E-1,-1.381132519E-3,4.123493284E-2
8.448824167E-1,1.036630869E-1,-2.602341352E-3,3.800290078E-2
8.549584167E-1,9.351538122E-2,-6.045808550E-3,3.653656319E-2
8.650354167E-1,8.053090423E-2,-9.348046966E-3,3.680295125E-2
8.751114167E-1,6.807477027E-2,-9.025804698E-3,3.534699976E-2
8.851874167E-1,6.462770700E-2,-5.547933746E-3,3.203405812E-2
8.952644167E-1,5.951257050E-2,3.692169674E-3,3.395712376E-2
9.053404167E-1,6.025644392E-2,1.916525327E-2,3.611905873E-2
9.154164167E-1,6.077709794E-2,2.702956833E-2,3.734970465E-2
9.254934167E-1,6.306184083E-2,2.927891910E-2,4.278724641E-2
9.355694167E-1,6.016671658E-2,3.228456154E-2,4.783633351E-2
9.456454167E-1,6.169288233E-2,3.447301313E-2,4.861541465E-2
9.557224167E-1,6.912682950E-2,4.374001548E-2,5.088096485E-2
9.657984167E-1,7.570514828E-2,5.121748894E-2,5.077920854E-2
9.758744167E-1,8.310154080E-2,5.801094696E-2,4.762735963E-2
9.859514167E-1,8.217538148E-2,6.602562219E-2,4.203034192E-2
9.960274167E-1,7.641043514E-2,6.138586253E-2,3.888967633E-2
1.006103417E0,6.974969804E-2,5.680696294E-2,2.839644998E-2
1.016180417E0,6.013594940E-2,5.775718018E-2,2.310927957E-2
1.026256417E0,5.093786120E-2,5.470656976E-2,1.503507234E-2
1.036332417E0,4.387862235E-2,4.778821021E-2,6.058088038E-3
1.046409417E0,2.793668583E-2,2.982006595E-2,-1.312629785E-3
1.056485417E0,7.752319798E-3,1.529412065E-2,-7.774523459E-3
1.066561417E0,-1.326138992E-2,-3.304678481E-3,-1.490228157E-2
1.076637417E0,-3.193467855E-2,-1.372083370E-2,-2.215326950E-2
